unidad,a,a1,b,c,c1,d,e,f,g
Total general,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GUAYAS,0.49393037103234144,0.26064272729481563,1.25999052250533,0.5165328325848789,1.597194387027533,0.6105002529271115,0.8439561386204727,0.6823808568806775,1.1409186913002214
MANABÍ,1.4128944931578524,3.439432209026387,0.9939808434585586,0.762732123397609,0.7753106060738796,1.0072767313688895,0.940103089784442,0.8123514550156709,0.6478708870188209
LOS RÍOS,1.1322053254541908,0.7102245246719189,1.0127282466298462,0.8054945931593744,0.39109539855272607,1.0371032080916527,1.026232162881597,1.0129397591536724,0.6263859905565119
PICHINCHA,0.596634705686269,0.0,1.1427817545700625,0.7750092397840846,3.540232643859454,0.7946313223683048,0.9539659427996627,2.9770216815479906,0.19956892713794183
ESMERALDAS,1.485472581700992,1.4151514751754846,0.8537306029030819,0.9979778767836344,0.18183050931033842,1.226331762532378,1.152021747760043,1.0275103934744383,0.8863317133993827
ORELLANA,1.9629459115334535,0.0,0.523196270230097,1.5725401825968446,0.5600379686758424,1.356417783751282,1.4528888478468311,0.5439383145455308,2.944393951912749
SANTO DOMINGO DE LOS TSÁCHILAS,0.9196331421236552,0.0,0.7078345998726745,1.07002063930771,0.7096421118468135,1.7055393390009856,1.7820325599954132,0.313291692088429,1.0130356624987304
EL ORO,1.4216211534803447,0.0,0.9272527028872657,1.545256982926583,0.380502779605051,0.8506907897582596,0.7372600049021699,0.8735156213520473,0.688910295705987
BOLIVAR,0.5907741531822336,0.0,0.7737719943292769,2.0111327822858174,0.0,1.469152771967569,1.2219609329142798,0.15914600634560985,1.3492617485357958
SANTA ELENA,0.9355715429902994,0.0,1.111305206214571,0.8456265589347848,1.3666265171870655,0.8911494403667823,0.843878132517692,0.8848930083908036,0.5392734057024265
PASTAZA,0.65772430575315,0.0,0.8603807875304852,1.8894769185576301,0.0,1.4715128567418143,0.9511714530318357,0.5676367344807017,1.8546520765924697
NAPO,1.5938479927826497,0.0,0.7210034458649,1.7383825782589897,0.48126728279754954,1.4077276543181358,0.9559107888899294,0.0,2.6140412413003746
CAÑAR,0.5019620175656277,0.37627671006603974,1.1069465457987542,1.101590898245236,0.0,1.0358614153301995,0.917174480785972,0.5122617223280993,0.4713360894511445
MORONA SANTIAGO,0.8509087949733886,0.0,0.7468035977432804,1.9303769974124112,0.0,1.631167476094923,1.1730524950060206,0.47208922486349925,1.3496591341593522
CHIMBORAZO,0.3143065412163308,0.0,0.8796377024292155,2.0335638931509425,2.073692226583094,1.5582641038289773,1.014300314196595,0.976523101909082,0.7701485840157456
AZUAY,0.5262947337008116,0.0,0.9082280841665927,2.162433666909044,0.0,0.41821281361530804,0.8956951114565693,3.3446290674090777,1.46543801693947
IMBABURA,0.6605277504772458,0.0,1.0090126183778223,1.592981640886589,0.0,0.9349411095524125,0.8243728379039482,3.031662493354651,0.18392022849750422
COTOPAXI,1.0314954900989854,0.5350066649135374,0.7672338521610977,1.897975019625474,1.37484270867316,0.998965001059311,1.1424621490341165,1.2139268269598746,1.3403324868360202
LOJA,0.5483894723520903,0.0,0.8310039574633732,1.6972596480075062,0.0,1.0889014662818453,1.201492845538902,1.4744409411431498,3.1978057172890098
CARCHI,0.3551334724011935,0.0,0.8114121968989374,1.6204380867461323,0.0,1.6762792283433248,1.4892358793033817,0.0,0.2610561713236433
TUNGURAHUA,0.4424811945492316,0.0,0.9931295004387939,1.4406161821983068,5.307903378165625,1.13724359640507,0.8606329006829633,9.373299600046073,0.36961918260910426
SUCUMBÍOS,2.029494338595873,0.0,0.5178734154589604,2.097115304430327,0.0,0.953016206026331,1.2440958164642375,3.7195143917288087,1.0476596349172527
GALÁPAGOS,3.0711281979818184,0.0,0.6989648803995777,1.4327161623648335,0.0,0.7133932529926242,0.6984636430600863,0.0,0.44440259862536485
ZAMORA CHINCHIPE,0.32311126777111976,0.0,0.5862316423582684,2.571495363515935,0.0,1.9497400346620453,1.2726244343891402,1.3689253935660508,4.858299595141701
